                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.97468,                 1.2979,                  1.409,                0.39225,                0.65703,                0.51634,                 0.3663,                 1.1125,                 1.4438,                 1.6357,             0.00057205,             0.00057205,             0.00057205
                    100,                 0.9812,                 1.2154,                 1.4028,                0.38821,                0.71646,                0.48894,                0.33287,                 1.1901,                 1.7826,                  1.678,             0.00056655,             0.00056655,             0.00056655
                    101,                0.96426,                 1.2449,                 1.4025,                0.37541,                0.72307,                0.54209,                0.39676,                 1.0626,                 1.2291,                 1.5892,             0.00056105,             0.00056105,             0.00056105
                    102,                0.99471,                 1.2722,                 1.4119,                0.42529,                0.77536,                0.50623,                0.37162,                 1.0109,                 1.3434,                 1.5284,             0.00055556,             0.00055556,             0.00055556
                    103,                0.98186,                 1.2328,                 1.4043,                0.44714,                0.74496,                0.53303,                0.39863,                 1.0267,                 1.4356,                 1.5438,             0.00055006,             0.00055006,             0.00055006
                    104,                0.98066,                 1.2289,                 1.3939,                0.40953,                 0.6249,                0.52234,                0.39086,                0.97395,                 1.2812,                  1.479,             0.00054456,             0.00054456,             0.00054456
                    105,                0.97251,                 1.1913,                 1.3797,                0.43889,                0.78896,                0.53163,                0.39532,                 1.0411,                 1.4383,                 1.6033,             0.00053906,             0.00053906,             0.00053906
                    106,                0.99117,                 1.2559,                 1.4163,                0.41763,                0.81021,                0.50474,                  0.374,                 1.0127,                 1.2711,                 1.5586,             0.00053356,             0.00053356,             0.00053356
                    107,                0.98675,                 1.2842,                 1.4079,                0.39967,                0.79648,                 0.5509,                0.37634,                 1.1173,                 1.3398,                 1.6432,             0.00052806,             0.00052806,             0.00052806
                    108,                0.96271,                 1.2144,                 1.3854,                 0.3544,                0.82932,                0.47577,                0.34393,                 1.0723,                  1.678,                 1.5865,             0.00052256,             0.00052256,             0.00052256
